0.00056992	2.9121e-10	1.5053e-12	2.3074e-08	5.1696e-07	6.6911e-15	1.7488e-05	0.010167	6.939e-16	0.98925	2.2138e-18
0.0014753	0.0003709	0.00049427	0.00065016	0.0003896	0.00054789	0.00086693	0.011111	0.00047521	0.98362	2.6975e-06
0.0023509	0.00075513	0.00099759	0.0012975	0.00080068	0.0011001	0.0016983	0.012018	0.00095492	0.97802	6.7082e-06
0.0031991	0.0011517	0.0015087	0.001942	0.0012313	0.0016556	0.0025124	0.012891	0.0014388	0.97246	1.2041e-05
0.0040221	0.0015597	0.0020263	0.0025834	0.0016793	0.0022138	0.00331	0.013732	0.0019265	0.96693	1.8705e-05
0.004822	0.0019783	0.0025493	0.0032216	0.0021426	0.0027737	0.0040918	0.014544	0.0024177	0.96144	2.6708e-05
0.0056006	0.0024065	0.003077	0.0038567	0.0026194	0.003335	0.0048586	0.015329	0.0029122	0.95597	3.6056e-05
0.0063596	0.0028436	0.0036085	0.0044883	0.0031081	0.003897	0.005611	0.01609	0.0034095	0.95054	4.6756e-05
0.0071003	0.0032889	0.004143	0.0051166	0.0036072	0.0044592	0.0063497	0.016827	0.0039093	0.94514	5.8813e-05
0.007917	0.003801	0.0047499	0.0058222	0.004182	0.0050944	0.0071686	0.017635	0.004477	0.93908	7.4077e-05
0.008714	0.0043216	0.0053591	0.0065232	0.0047666	0.0057289	0.0079717	0.018419	0.0050471	0.93306	9.1086e-05
0.0094926	0.0048499	0.0059699	0.0072196	0.0053595	0.0063623	0.0087596	0.019179	0.0056194	0.92708	0.00010984
0.010254	0.0053851	0.0065816	0.0079111	0.0059593	0.0069942	0.0095332	0.019919	0.0061934	0.92114	0.00013036
0.011082	0.0059865	0.0072615	0.0086734	0.0066319	0.007694	0.010376	0.020718	0.0068326	0.91459	0.00015519
0.011892	0.0065944	0.0079412	0.0094297	0.00731	0.0083911	0.011204	0.021496	0.0074732	0.90809	0.0001822
0.012686	0.0072079	0.0086203	0.01018	0.0079921	0.0090855	0.012016	0.022253	0.0081146	0.90164	0.00021138
0.013464	0.0078261	0.0092982	0.010924	0.0086772	0.0097767	0.012814	0.022992	0.0087566	0.89523	0.00024272
0.014323	0.0085263	0.010059	0.011753	0.0094501	0.01055	0.013695	0.023804	0.0094789	0.88808	0.00028057
0.015165	0.0092306	0.010817	0.012575	0.010224	0.011319	0.01456	0.024596	0.010201	0.881	0.00032116
0.015991	0.0099379	0.011573	0.013388	0.010998	0.012084	0.01541	0.02537	0.010922	0.87397	0.00036447
0.016804	0.010647	0.012325	0.014194	0.011771	0.012843	0.016245	0.026127	0.011642	0.86699	0.00041052
0.017711	0.011456	0.013175	0.0151	0.012648	0.013701	0.017177	0.02697	0.012459	0.85914	0.00046615
